Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(8, 4)","(2, 5)",35,No
Trial 1,"(1, 3)","(7, 2)",35,No
Trial 2,"(4, 5)","(5, 2)",20,No
Trial 3,"(5, 5)","(2, 2)",30,No
Trial 4,"(8, 4)","(1, 3)",40,No
Trial 5,"(1, 6)","(7, 4)",40,No
Trial 6,"(7, 4)","(8, 1)",20,No
Trial 7,"(2, 1)","(1, 6)",30,No
Trial 8,"(3, 2)","(6, 5)",30,No
Trial 9,"(3, 2)","(1, 4)",20,No
Trial 10,"(8, 2)","(1, 1)",40,No
Trial 11,"(2, 2)","(8, 1)",35,No
Trial 12,"(7, 2)","(3, 3)",25,No
Trial 13,"(8, 6)","(4, 4)",30,No
Trial 14,"(8, 3)","(2, 3)",30,No
Trial 15,"(4, 2)","(8, 3)",25,No
Trial 16,"(4, 6)","(1, 3)",30,No
Trial 17,"(4, 3)","(6, 1)",20,No
Trial 18,"(4, 3)","(7, 4)",20,No
Trial 19,"(2, 3)","(7, 1)",35,No
Trial 20,"(7, 1)","(4, 6)",40,No
Trial 21,"(8, 2)","(1, 6)",55,No
Trial 22,"(3, 4)","(7, 2)",30,No
Trial 23,"(8, 5)","(5, 6)",20,No
Trial 24,"(2, 3)","(5, 4)",20,No
Trial 25,"(8, 3)","(2, 2)",35,No
Trial 26,"(4, 4)","(7, 5)",20,No
Trial 27,"(1, 1)","(5, 3)",30,No
Trial 28,"(1, 5)","(4, 3)",25,No
Trial 29,"(7, 2)","(3, 2)",20,Yes
Trial 30,"(5, 1)","(2, 4)",30,No
Trial 31,"(6, 3)","(1, 6)",40,No
Trial 32,"(3, 3)","(7, 1)",30,No
Trial 33,"(8, 3)","(4, 2)",25,No
Trial 34,"(2, 1)","(8, 4)",45,No
Trial 35,"(1, 3)","(5, 5)",30,No
Trial 36,"(4, 1)","(7, 2)",20,No
Trial 37,"(6, 6)","(4, 4)",20,No
Trial 38,"(7, 5)","(2, 3)",35,No
Trial 39,"(4, 2)","(1, 6)",35,No
Trial 40,"(6, 3)","(1, 3)",25,Yes
Trial 41,"(2, 3)","(6, 4)",25,No
Trial 42,"(1, 4)","(3, 1)",25,No
Trial 43,"(7, 5)","(6, 1)",25,No
Trial 44,"(8, 3)","(2, 5)",40,No
Trial 45,"(3, 4)","(7, 1)",35,No
Trial 46,"(3, 5)","(4, 1)",25,No
Trial 47,"(1, 4)","(7, 5)",35,No
Trial 48,"(1, 4)","(6, 1)",40,No
Trial 49,"(3, 4)","(6, 1)",30,No
Trial 50,"(1, 2)","(5, 6)",40,No
Trial 51,"(1, 5)","(7, 4)",35,No
Trial 52,"(1, 2)","(6, 1)",30,No
Trial 53,"(3, 5)","(8, 1)",45,No
Trial 54,"(1, 2)","(5, 5)",35,No
Trial 55,"(7, 6)","(2, 3)",40,No
Trial 56,"(6, 6)","(7, 2)",25,No
Trial 57,"(5, 3)","(1, 6)",35,No
Trial 58,"(3, 1)","(8, 6)",50,No
Trial 59,"(4, 5)","(8, 3)",30,No
Trial 60,"(1, 2)","(5, 6)",40,No
Trial 61,"(1, 3)","(5, 5)",30,No
Trial 62,"(7, 6)","(6, 3)",20,No
Trial 63,"(8, 2)","(5, 5)",30,No
Trial 64,"(2, 6)","(6, 4)",30,No
Trial 65,"(6, 3)","(2, 6)",35,No
Trial 66,"(6, 5)","(8, 3)",20,No
Trial 67,"(6, 4)","(3, 5)",20,No
Trial 68,"(2, 5)","(5, 4)",20,No
Trial 69,"(3, 3)","(6, 4)",20,No
Trial 70,"(2, 3)","(3, 6)",20,No
Trial 71,"(2, 5)","(6, 1)",40,No
Trial 72,"(3, 4)","(5, 2)",20,No
Trial 73,"(4, 1)","(2, 5)",30,No
Trial 74,"(2, 4)","(5, 6)",25,No
Trial 75,"(2, 6)","(5, 1)",40,No
Trial 76,"(7, 4)","(2, 5)",30,No
Trial 77,"(8, 5)","(2, 4)",35,No
Trial 78,"(5, 5)","(1, 6)",25,No
Trial 79,"(8, 6)","(4, 6)",20,No
Trial 80,"(1, 4)","(6, 6)",35,No
Trial 81,"(3, 5)","(6, 4)",20,No
Trial 82,"(5, 2)","(4, 6)",25,No
Trial 83,"(1, 1)","(5, 6)",45,No
Trial 84,"(8, 3)","(3, 3)",25,No
Trial 85,"(3, 4)","(6, 3)",20,No
Trial 86,"(7, 2)","(7, 6)",20,No
Trial 87,"(6, 1)","(8, 3)",20,No
Trial 88,"(7, 4)","(5, 1)",25,No
Trial 89,"(3, 5)","(8, 5)",25,Yes
Trial 90,"(2, 4)","(5, 3)",20,No
Trial 91,"(7, 6)","(4, 5)",20,No
Trial 92,"(6, 5)","(4, 3)",20,No
Trial 93,"(7, 4)","(3, 2)",30,No
Trial 94,"(1, 1)","(7, 4)",45,No
Trial 95,"(5, 2)","(1, 2)",20,Yes
Trial 96,"(2, 5)","(4, 2)",25,No
Trial 97,"(4, 3)","(7, 1)",25,No
Trial 98,"(8, 6)","(3, 5)",30,No
Trial 99,"(8, 1)","(2, 1)",30,No
