Trial,Start Location,Desination,Deadline,Successful?
Trial 0,"(6, 5)","(3, 3)",25,No
Trial 1,"(8, 3)","(2, 3)",30,No
Trial 2,"(3, 2)","(7, 4)",30,Yes
Trial 3,"(1, 6)","(3, 4)",20,No
Trial 4,"(7, 3)","(1, 1)",40,Yes
Trial 5,"(7, 4)","(2, 4)",25,No
Trial 6,"(4, 2)","(6, 4)",20,Yes
Trial 7,"(2, 1)","(6, 6)",45,Yes
Trial 8,"(5, 3)","(3, 1)",20,No
Trial 9,"(2, 4)","(5, 2)",25,Yes
Trial 10,"(6, 4)","(2, 2)",30,Yes
Trial 11,"(1, 3)","(8, 2)",40,Yes
Trial 12,"(8, 4)","(3, 4)",25,Yes
Trial 13,"(6, 5)","(3, 2)",30,Yes
Trial 14,"(7, 2)","(3, 2)",20,Yes
Trial 15,"(2, 6)","(3, 1)",30,Yes
Trial 16,"(3, 5)","(8, 2)",40,Yes
Trial 17,"(5, 3)","(3, 6)",25,Yes
Trial 18,"(1, 2)","(1, 6)",20,No
Trial 19,"(2, 2)","(4, 4)",20,No
Trial 20,"(6, 1)","(3, 2)",20,Yes
Trial 21,"(5, 6)","(3, 3)",25,Yes
Trial 22,"(6, 4)","(2, 2)",30,Yes
Trial 23,"(1, 1)","(8, 4)",50,Yes
Trial 24,"(4, 6)","(8, 4)",30,Yes
Trial 25,"(8, 6)","(5, 1)",40,Yes
Trial 26,"(7, 2)","(4, 1)",20,Yes
Trial 27,"(2, 2)","(1, 6)",25,Yes
Trial 28,"(8, 3)","(2, 4)",35,Yes
Trial 29,"(2, 2)","(7, 3)",30,Yes
Trial 30,"(4, 1)","(8, 3)",30,Yes
Trial 31,"(3, 4)","(8, 2)",35,Yes
Trial 32,"(5, 6)","(7, 4)",20,Yes
Trial 33,"(8, 3)","(2, 4)",35,Yes
Trial 34,"(6, 5)","(5, 2)",20,Yes
Trial 35,"(1, 6)","(3, 1)",35,Yes
Trial 36,"(6, 3)","(4, 6)",25,Yes
Trial 37,"(3, 4)","(7, 1)",35,Yes
Trial 38,"(5, 2)","(3, 6)",30,Yes
Trial 39,"(8, 6)","(4, 5)",25,Yes
Trial 40,"(1, 3)","(8, 1)",45,Yes
Trial 41,"(5, 5)","(1, 3)",30,No
Trial 42,"(6, 2)","(2, 4)",30,Yes
Trial 43,"(5, 2)","(5, 6)",20,Yes
Trial 44,"(8, 3)","(7, 6)",20,Yes
Trial 45,"(7, 3)","(6, 6)",20,Yes
Trial 46,"(2, 1)","(7, 5)",45,Yes
Trial 47,"(8, 2)","(3, 4)",35,Yes
Trial 48,"(5, 4)","(3, 1)",25,Yes
Trial 49,"(7, 1)","(1, 6)",55,Yes
Trial 50,"(5, 5)","(4, 2)",20,Yes
Trial 51,"(8, 4)","(2, 2)",40,Yes
Trial 52,"(8, 3)","(6, 1)",20,Yes
Trial 53,"(8, 1)","(7, 5)",25,Yes
Trial 54,"(3, 3)","(6, 4)",20,Yes
Trial 55,"(7, 2)","(1, 2)",30,No
Trial 56,"(5, 6)","(7, 3)",25,Yes
Trial 57,"(4, 5)","(8, 1)",40,Yes
Trial 58,"(7, 1)","(1, 3)",40,Yes
Trial 59,"(3, 6)","(7, 5)",25,Yes
Trial 60,"(6, 1)","(4, 3)",20,Yes
Trial 61,"(2, 6)","(6, 2)",40,Yes
Trial 62,"(8, 2)","(3, 5)",40,Yes
Trial 63,"(8, 4)","(1, 4)",35,Yes
Trial 64,"(1, 1)","(6, 1)",25,Yes
Trial 65,"(6, 1)","(2, 3)",30,Yes
Trial 66,"(1, 5)","(8, 1)",55,Yes
Trial 67,"(5, 3)","(3, 5)",20,Yes
Trial 68,"(3, 2)","(7, 6)",40,Yes
Trial 69,"(2, 6)","(7, 1)",50,Yes
Trial 70,"(1, 1)","(3, 5)",30,Yes
Trial 71,"(4, 1)","(8, 3)",30,Yes
Trial 72,"(8, 4)","(5, 2)",25,Yes
Trial 73,"(5, 1)","(3, 4)",25,Yes
Trial 74,"(2, 3)","(5, 5)",25,Yes
Trial 75,"(8, 2)","(3, 2)",25,Yes
Trial 76,"(3, 5)","(8, 5)",25,Yes
Trial 77,"(1, 2)","(4, 1)",20,Yes
Trial 78,"(8, 3)","(4, 1)",30,Yes
Trial 79,"(1, 5)","(2, 1)",25,Yes
Trial 80,"(4, 2)","(3, 5)",20,Yes
Trial 81,"(7, 2)","(2, 2)",25,Yes
Trial 82,"(1, 2)","(8, 5)",50,Yes
Trial 83,"(7, 2)","(2, 4)",35,Yes
Trial 84,"(1, 3)","(6, 2)",30,Yes
Trial 85,"(7, 4)","(1, 1)",45,Yes
Trial 86,"(3, 4)","(8, 6)",35,Yes
Trial 87,"(8, 4)","(1, 6)",45,Yes
Trial 88,"(8, 1)","(2, 4)",45,Yes
Trial 89,"(3, 3)","(5, 6)",25,Yes
Trial 90,"(5, 4)","(3, 6)",20,Yes
Trial 91,"(2, 3)","(5, 4)",20,Yes
Trial 92,"(4, 2)","(8, 2)",20,Yes
Trial 93,"(6, 2)","(7, 6)",25,Yes
Trial 94,"(4, 2)","(7, 4)",25,Yes
Trial 95,"(6, 3)","(8, 5)",20,Yes
Trial 96,"(8, 1)","(6, 4)",25,Yes
Trial 97,"(7, 3)","(3, 3)",20,Yes
Trial 98,"(3, 4)","(7, 1)",35,Yes
Trial 99,"(5, 5)","(2, 2)",30,No
