Trial,Gamma,Epsilon,Epsilon Decay,Start Location,Desination,Deadline,Successful?
Trial 0,0.7,0.4,0.95,"(6, 5)","(8, 3)",20,No
Trial 1,0.7,0.4,0.95,"(1, 5)","(5, 4)",25,Yes
Trial 2,0.7,0.4,0.95,"(3, 5)","(6, 4)",20,Yes
Trial 3,0.7,0.4,0.95,"(7, 5)","(2, 2)",40,No
Trial 4,0.7,0.4,0.95,"(6, 4)","(2, 5)",25,No
Trial 5,0.7,0.4,0.95,"(1, 1)","(7, 1)",30,No
Trial 6,0.7,0.4,0.95,"(1, 5)","(8, 2)",50,No
Trial 7,0.7,0.4,0.95,"(6, 3)","(4, 1)",20,No
Trial 8,0.7,0.4,0.95,"(8, 5)","(4, 3)",30,No
Trial 9,0.7,0.4,0.95,"(1, 5)","(6, 4)",30,No
Trial 10,0.7,0.4,0.95,"(2, 5)","(6, 6)",25,No
Trial 11,0.7,0.4,0.95,"(1, 6)","(5, 2)",40,No
Trial 12,0.7,0.4,0.95,"(7, 5)","(3, 2)",35,No
Trial 13,0.7,0.4,0.95,"(8, 1)","(1, 4)",50,No
Trial 14,0.7,0.4,0.95,"(3, 5)","(6, 2)",30,No
Trial 15,0.7,0.4,0.95,"(4, 5)","(8, 6)",25,No
Trial 16,0.7,0.4,0.95,"(8, 5)","(4, 2)",35,No
Trial 17,0.7,0.4,0.95,"(1, 2)","(6, 2)",25,No
Trial 18,0.7,0.4,0.95,"(6, 4)","(2, 6)",30,No
Trial 19,0.7,0.4,0.95,"(7, 5)","(4, 2)",30,No
Trial 20,0.7,0.4,0.95,"(6, 1)","(1, 6)",50,No
Trial 21,0.7,0.4,0.95,"(4, 1)","(1, 2)",20,No
Trial 22,0.7,0.4,0.95,"(2, 3)","(1, 6)",20,No
Trial 23,0.7,0.4,0.95,"(3, 1)","(5, 3)",20,No
Trial 24,0.7,0.4,0.95,"(6, 6)","(8, 4)",20,No
Trial 25,0.7,0.4,0.95,"(7, 5)","(1, 1)",50,No
Trial 26,0.7,0.4,0.95,"(8, 4)","(1, 2)",45,No
Trial 27,0.7,0.4,0.95,"(2, 1)","(1, 4)",20,No
Trial 28,0.7,0.4,0.95,"(8, 5)","(2, 4)",35,No
Trial 29,0.7,0.4,0.95,"(1, 5)","(8, 3)",45,No
Trial 30,0.7,0.4,0.95,"(7, 5)","(5, 3)",20,No
Trial 31,0.7,0.4,0.95,"(1, 3)","(6, 5)",35,No
Trial 32,0.7,0.4,0.95,"(7, 3)","(8, 6)",20,No
Trial 33,0.7,0.4,0.95,"(7, 6)","(5, 4)",20,No
Trial 34,0.7,0.4,0.95,"(7, 2)","(2, 5)",40,No
Trial 35,0.7,0.4,0.95,"(7, 3)","(4, 2)",20,No
Trial 36,0.7,0.4,0.95,"(2, 5)","(6, 5)",20,Yes
Trial 37,0.7,0.4,0.95,"(4, 5)","(3, 2)",20,No
Trial 38,0.7,0.4,0.95,"(1, 6)","(4, 3)",30,No
Trial 39,0.7,0.4,0.95,"(1, 2)","(8, 1)",40,No
Trial 40,0.7,0.4,0.95,"(8, 2)","(3, 6)",45,No
Trial 41,0.7,0.4,0.95,"(3, 2)","(6, 6)",35,No
Trial 42,0.7,0.4,0.95,"(2, 6)","(6, 3)",35,No
Trial 43,0.7,0.4,0.95,"(8, 6)","(2, 3)",45,No
Trial 44,0.7,0.4,0.95,"(5, 3)","(8, 5)",25,No
Trial 45,0.7,0.4,0.95,"(5, 6)","(7, 1)",35,No
Trial 46,0.7,0.4,0.95,"(5, 3)","(1, 2)",25,No
Trial 47,0.7,0.4,0.95,"(6, 6)","(2, 1)",45,No
Trial 48,0.7,0.4,0.95,"(8, 5)","(4, 6)",25,No
Trial 49,0.7,0.4,0.95,"(2, 2)","(2, 6)",20,No
Trial 50,0.7,0.4,0.95,"(4, 5)","(6, 2)",25,No
Trial 51,0.7,0.4,0.95,"(7, 4)","(2, 6)",35,No
Trial 52,0.7,0.4,0.95,"(8, 2)","(6, 5)",25,No
Trial 53,0.7,0.4,0.95,"(4, 4)","(7, 1)",30,No
Trial 54,0.7,0.4,0.95,"(2, 1)","(8, 1)",30,Yes
Trial 55,0.7,0.4,0.95,"(6, 6)","(2, 1)",45,No
Trial 56,0.7,0.4,0.95,"(6, 5)","(2, 3)",30,No
Trial 57,0.7,0.4,0.95,"(8, 6)","(2, 4)",40,No
Trial 58,0.7,0.4,0.95,"(6, 4)","(4, 2)",20,No
Trial 59,0.7,0.4,0.95,"(3, 5)","(8, 6)",30,No
Trial 60,0.7,0.4,0.95,"(7, 6)","(5, 3)",25,No
Trial 61,0.7,0.4,0.95,"(4, 1)","(8, 2)",25,No
Trial 62,0.7,0.4,0.95,"(4, 3)","(7, 5)",25,No
Trial 63,0.7,0.4,0.95,"(6, 3)","(2, 1)",30,No
Trial 64,0.7,0.4,0.95,"(7, 1)","(2, 6)",50,No
Trial 65,0.7,0.4,0.95,"(8, 5)","(5, 6)",20,No
Trial 66,0.7,0.4,0.95,"(2, 6)","(5, 3)",30,No
Trial 67,0.7,0.4,0.95,"(8, 2)","(3, 4)",35,No
Trial 68,0.7,0.4,0.95,"(5, 5)","(7, 3)",20,No
Trial 69,0.7,0.4,0.95,"(5, 6)","(3, 2)",30,No
Trial 70,0.7,0.4,0.95,"(5, 5)","(2, 6)",20,No
Trial 71,0.7,0.4,0.95,"(6, 3)","(1, 4)",30,No
Trial 72,0.7,0.4,0.95,"(8, 2)","(2, 5)",45,No
Trial 73,0.7,0.4,0.95,"(7, 1)","(4, 3)",25,No
Trial 74,0.7,0.4,0.95,"(3, 2)","(1, 6)",30,No
Trial 75,0.7,0.4,0.95,"(8, 3)","(6, 6)",25,No
Trial 76,0.7,0.4,0.95,"(8, 3)","(3, 5)",35,No
Trial 77,0.7,0.4,0.95,"(6, 3)","(1, 3)",25,Yes
Trial 78,0.7,0.4,0.95,"(6, 1)","(6, 6)",25,Yes
Trial 79,0.7,0.4,0.95,"(6, 6)","(2, 2)",40,No
Trial 80,0.7,0.4,0.95,"(2, 3)","(3, 6)",20,No
Trial 81,0.7,0.4,0.95,"(2, 2)","(2, 6)",20,Yes
Trial 82,0.7,0.4,0.95,"(1, 3)","(6, 1)",35,No
Trial 83,0.7,0.4,0.95,"(6, 3)","(3, 1)",25,No
Trial 84,0.7,0.4,0.95,"(4, 1)","(6, 5)",30,No
Trial 85,0.7,0.4,0.95,"(8, 3)","(5, 2)",20,No
Trial 86,0.7,0.4,0.95,"(8, 1)","(5, 2)",20,No
Trial 87,0.7,0.4,0.95,"(2, 3)","(6, 4)",25,No
Trial 88,0.7,0.4,0.95,"(7, 1)","(5, 4)",25,No
Trial 89,0.7,0.4,0.95,"(1, 5)","(2, 2)",20,No
Trial 90,0.7,0.4,0.95,"(4, 5)","(1, 4)",20,No
Trial 91,0.7,0.4,0.95,"(2, 5)","(1, 2)",20,No
Trial 92,0.7,0.4,0.95,"(4, 4)","(6, 6)",20,No
Trial 93,0.7,0.4,0.95,"(7, 3)","(1, 2)",35,No
Trial 94,0.7,0.4,0.95,"(7, 5)","(5, 1)",30,No
Trial 95,0.7,0.4,0.95,"(5, 3)","(7, 5)",20,No
Trial 96,0.7,0.4,0.95,"(6, 2)","(7, 6)",25,No
Trial 97,0.7,0.4,0.95,"(3, 1)","(7, 2)",25,No
Trial 98,0.7,0.4,0.95,"(7, 3)","(3, 4)",25,No
Trial 99,0.7,0.4,0.95,"(1, 3)","(6, 3)",25,No
Trial 0,0.7,0.4,0.96,"(6, 4)","(3, 5)",20,No
Trial 1,0.7,0.4,0.96,"(4, 6)","(5, 3)",20,No
Trial 2,0.7,0.4,0.96,"(8, 6)","(2, 5)",35,No
