Trial,Gamma,Epsilon,Epsilon Decay,Start Location,Desination,Deadline,Successful?
Trial 1.0,0.8,0.5,0.95,"(4, 5)","(7, 4)",20,No
Trial 1.1,0.8,0.5,0.95,"(2, 5)","(5, 4)",20,No
Trial 1.2,0.8,0.5,0.95,"(8, 4)","(5, 5)",20,Yes
Trial 1.3,0.8,0.5,0.95,"(5, 4)","(7, 2)",20,No
Trial 1.4,0.8,0.5,0.95,"(7, 6)","(7, 1)",25,Yes
Trial 1.5,0.8,0.5,0.95,"(2, 5)","(7, 6)",30,Yes
Trial 1.6,0.8,0.5,0.95,"(7, 1)","(2, 4)",40,Yes
Trial 1.7,0.8,0.5,0.95,"(3, 5)","(7, 4)",25,Yes
Trial 1.8,0.8,0.5,0.95,"(5, 3)","(1, 5)",30,No
Trial 1.9,0.8,0.5,0.95,"(6, 1)","(6, 6)",25,No
Trial 1.10,0.8,0.5,0.95,"(7, 4)","(1, 4)",30,Yes
Trial 1.11,0.8,0.5,0.95,"(2, 2)","(5, 4)",25,Yes
Trial 1.12,0.8,0.5,0.95,"(5, 3)","(4, 6)",20,No
Trial 1.13,0.8,0.5,0.95,"(1, 4)","(7, 4)",30,Yes
Trial 1.14,0.8,0.5,0.95,"(3, 6)","(6, 2)",35,Yes
Trial 1.15,0.8,0.5,0.95,"(7, 5)","(3, 5)",20,Yes
Trial 1.16,0.8,0.5,0.95,"(1, 3)","(8, 6)",50,Yes
Trial 1.17,0.8,0.5,0.95,"(2, 5)","(5, 2)",30,No
Trial 1.18,0.8,0.5,0.95,"(8, 4)","(4, 6)",30,No
Trial 1.19,0.8,0.5,0.95,"(1, 5)","(6, 4)",30,Yes
Trial 1.20,0.8,0.5,0.95,"(8, 5)","(4, 1)",40,Yes
Trial 1.21,0.8,0.5,0.95,"(2, 5)","(7, 4)",30,No
Trial 1.22,0.8,0.5,0.95,"(4, 4)","(1, 1)",30,Yes
Trial 1.23,0.8,0.5,0.95,"(2, 1)","(7, 4)",40,Yes
Trial 1.24,0.8,0.5,0.95,"(8, 6)","(6, 2)",30,Yes
Trial 1.25,0.8,0.5,0.95,"(2, 3)","(5, 2)",20,Yes
Trial 1.26,0.8,0.5,0.95,"(5, 4)","(8, 5)",20,Yes
Trial 1.27,0.8,0.5,0.95,"(7, 1)","(5, 4)",25,No
Trial 1.28,0.8,0.5,0.95,"(8, 1)","(4, 1)",20,Yes
Trial 1.29,0.8,0.5,0.95,"(3, 4)","(8, 3)",30,Yes
Trial 1.30,0.8,0.5,0.95,"(3, 6)","(5, 4)",20,Yes
Trial 1.31,0.8,0.5,0.95,"(7, 6)","(4, 3)",30,Yes
Trial 1.32,0.8,0.5,0.95,"(4, 6)","(7, 1)",40,Yes
Trial 1.33,0.8,0.5,0.95,"(4, 6)","(4, 1)",25,Yes
Trial 1.34,0.8,0.5,0.95,"(2, 2)","(7, 2)",25,Yes
Trial 1.35,0.8,0.5,0.95,"(2, 4)","(5, 1)",30,No
Trial 1.36,0.8,0.5,0.95,"(5, 1)","(6, 4)",20,Yes
